ano,semana_epidemiologica,fecha_inicio_semana_epidemiologica,grupo_etario,departamento_residencia,dengue confirmed,,semana_epidemiologica,Semena
2024,3,2024-01-14,"[30,40)",COMUNA 13,2,,,
2024,3,2024-01-14,"[40,50)",COMUNA 13,2,,,
2024,3,2024-01-14,"[50,60)",COMUNA 13,1,,,
2024,3,2024-01-14,"[60,70)",COMUNA 13,1,,,
2024,3,2024-01-14,"[70,80)",COMUNA 13,0,,,
2024,3,2024-01-14,"[0,10)",COMUNA 14,0,,,
2024,3,2024-01-14,"[20,30)",COMUNA 14,2,,,
2024,3,2024-01-14,"[30,40)",COMUNA 14,2,,,
2024,3,2024-01-14,"[40,50)",COMUNA 14,1,,,
2024,3,2024-01-14,"[50,60)",COMUNA 14,1,,,
2024,3,2024-01-14,"[60,70)",COMUNA 14,0,,,
2024,3,2024-01-14,"[70,80)",COMUNA 14,0,,,
2024,3,2024-01-14,"[80,90)",COMUNA 14,0,,,
2024,3,2024-01-14,"[0,10)",COMUNA 15,0,,,
2024,3,2024-01-14,"[10,20)",COMUNA 15,2,,,
2024,3,2024-01-14,"[20,30)",COMUNA 15,0,,,
2024,3,2024-01-14,"[30,40)",COMUNA 15,3,,,
2024,3,2024-01-14,"[40,50)",COMUNA 15,1,,,
2024,3,2024-01-14,"[50,60)",COMUNA 15,0,,,
2024,3,2024-01-14,"[60,70)",COMUNA 15,1,,,
2024,3,2024-01-14,"[70,80)",COMUNA 15,2,,,
2024,3,2024-01-14,"[80,90)",COMUNA 15,0,,,
2024,3,2024-01-14,"[0,10)",COMUNA 2,0,,,
2024,3,2024-01-14,"[10,20)",COMUNA 2,0,,,
2024,3,2024-01-14,"[20,30)",COMUNA 2,0,,,
2024,3,2024-01-14,"[30,40)",COMUNA 2,0,,,
2024,3,2024-01-14,"[40,50)",COMUNA 2,0,,,
2024,3,2024-01-14,"[50,60)",COMUNA 2,0,,,
2024,3,2024-01-14,"[60,70)",COMUNA 2,0,,,
2024,3,2024-01-14,"[70,80)",COMUNA 2,0,,,
2024,3,2024-01-14,"[0,10)",COMUNA 3,0,,,
2024,3,2024-01-14,"[10,20)",COMUNA 3,0,,,
2024,3,2024-01-14,"[20,30)",COMUNA 3,0,,,
2024,3,2024-01-14,"[30,40)",COMUNA 3,1,,,
2024,3,2024-01-14,"[40,50)",COMUNA 3,4,,,
2024,3,2024-01-14,"[50,60)",COMUNA 3,0,,,
2024,3,2024-01-14,"[60,70)",COMUNA 3,1,,,
2024,3,2024-01-14,"[0,10)",COMUNA 4,0,,,
2024,3,2024-01-14,"[10,20)",COMUNA 4,1,,,
2024,3,2024-01-14,"[20,30)",COMUNA 4,1,,,
2024,3,2024-01-14,"[30,40)",COMUNA 4,2,,,
2024,3,2024-01-14,"[40,50)",COMUNA 4,4,,,
2024,3,2024-01-14,"[50,60)",COMUNA 4,2,,,
2024,3,2024-01-14,"[60,70)",COMUNA 4,1,,,
2024,3,2024-01-14,"[0,10)",COMUNA 5,0,,,
2024,3,2024-01-14,"[20,30)",COMUNA 5,1,,,
2024,3,2024-01-14,"[30,40)",COMUNA 5,1,,,
2024,3,2024-01-14,"[40,50)",COMUNA 5,1,,,
2024,3,2024-01-14,"[50,60)",COMUNA 5,0,,,
2024,3,2024-01-14,"[60,70)",COMUNA 5,0,,,
2024,3,2024-01-14,"[0,10)",COMUNA 6,0,,,
2024,3,2024-01-14,"[10,20)",COMUNA 6,0,,,
2024,3,2024-01-14,"[20,30)",COMUNA 6,1,,,
2024,3,2024-01-14,"[30,40)",COMUNA 6,1,,,
2024,3,2024-01-14,"[40,50)",COMUNA 6,1,,,
2024,3,2024-01-14,"[50,60)",COMUNA 6,0,,,
2024,3,2024-01-14,"[60,70)",COMUNA 6,0,,,
2024,3,2024-01-14,"[0,10)",COMUNA 7,0,,,
2024,3,2024-01-14,"[10,20)",COMUNA 7,0,,,
2024,3,2024-01-14,"[20,30)",COMUNA 7,0,,,
2024,3,2024-01-14,"[30,40)",COMUNA 7,1,,,
2024,3,2024-01-14,"[40,50)",COMUNA 7,1,,,
